ID,Name,Factory,Input,Output
91,Turbofuel,11,37|22.5;30|15,39|18.75
92,Fuel,11,35|60,37|40;20|30
93,Petroleum Coke,11,36|40,21|120
94,Plastic,11,35|29,31|20;36|10
95,Rubber,11,35|30,32|20;36|20
96,Liquid Biofuel,11,29|90;34|45,38|60
97,Alumina Solution,11,8|120;34|180,40|120;18|50
98,Aluminum Scrap,11,40|240;5|120,22|360;34|120
99,Sulfuric Acid,11,7|50;34|50,41|50
100,Heavy Oil Residue,11,35|30,36|40;20|20
101,Polymer Resin,11,35|60,20|130;36|20
102,Smokeless Powder,11,33|20;36|10,113|20
103,Battery,12,41|60;40|40;59|20,70|20;34|40
104,Fused Modular Frame,12,65|1.5;59|75;43|37.5,72|1.5
105,Cooling System,12,69|12;32|12;34|30;43|150,74|6
106,Nitric Acid,12,43|120;34|30;46|10,42|30
107,Encased Uranium Cell,12,9|50;19|15;41|40,77|25;41|10
108,Non-fissile Uranium,12,83|37.5;18|25;42|15;41|15,80|50;34|15
109,Turbo Rifle Ammo,12,90|125;59|15;39|15,115|250
110,Packaged Nitrogen Gas,13,43|240;102|60,106|60
111,Packaged Fuel,13,37|40;103|40,107|40
112,Packaged Water,13,34|60;103|60,108|60
